Data_Set_Name,Algorithm_Name,Measure,Value
NWN,LFRanking,DIR,0.6551724137931034
NWN,LFRanking,FairnessAtK,0.034482758620689655
NWN,FeldmanEtAl,NDCG@1,0.24390243902439024
NWN,FeldmanEtAl,NDCG@5,0.24390243902439024
NWN,FeldmanEtAl,NDCG@10,0.24390243902439024
NWN,FeldmanEtAl,MAP,0.14634146341463414
NWN,FeldmanEtAl,rKL,0.36585365853658536
NWN,FeldmanEtAl,DTR,0.12195121951219512
NWN,FeldmanEtAl,DIR,0.24390243902439024
NWN,FeldmanEtAl,FairnessAtK,0.36585365853658536
NWN,FOEIR-DPC,NDCG@1,0.17073170731707318
NWN,FOEIR-DPC,NDCG@5,0.21951219512195122
NWN,FOEIR-DPC,NDCG@10,0.1951219512195122
NWN,FOEIR-DPC,MAP,0.34146341463414637
NWN,FOEIR-DPC,rKL,0.4146341463414634
NWN,FOEIR-DPC,DTR,0.5609756097560976
NWN,FOEIR-DPC,DIR,0.4878048780487805
NWN,FOEIR-DPC,FairnessAtK,0.14634146341463414
NWN,FOEIR-DTC,NDCG@1,0.17073170731707318
NWN,FOEIR-DTC,NDCG@5,0.17073170731707318
NWN,FOEIR-DTC,NDCG@10,0.17073170731707318
NWN,FOEIR-DTC,MAP,0.3902439024390244
NWN,FOEIR-DTC,rKL,0.36585365853658536
NWN,FOEIR-DTC,DTR,0.5121951219512195
NWN,FOEIR-DTC,DIR,0.36585365853658536
NWN,FOEIR-DTC,FairnessAtK,0.17073170731707318
NWN,FOEIR-DIC,NDCG@1,0.17073170731707318
NWN,FOEIR-DIC,NDCG@5,0.24390243902439024
NWN,FOEIR-DIC,NDCG@10,0.21951219512195122
NWN,FOEIR-DIC,MAP,0.5365853658536586
NWN,FOEIR-DIC,rKL,0.36585365853658536
NWN,FOEIR-DIC,DTR,0.5609756097560976
NWN,FOEIR-DIC,DIR,0.34146341463414637
NWN,FOEIR-DIC,FairnessAtK,0.1951219512195122
NWN,ListNet,NDCG@1,0.5
NWN,ListNet,NDCG@5,0.5
NWN,ListNet,NDCG@10,0.5
NWN,ListNet,MAP,0.5
NWN,ListNet,rKL,0.125
NWN,ListNet,DTR,0.125
NWN,ListNet,DIR,0.25
NWN,ListNet,FairnessAtK,0.5
